cert_number_new,cert_number_shipped
6050080029,6035587056
6035295067,6035587102
109060539,94164129
102415360,108381888
108431015,6016734025
102134255,75766296
110277410,101398685
83180288,109061821
69062633,6001832065
70191854,105494178
83770034,101398660
86936497,109343513
88101593,105902751
92946797,108368218
97537364,108368221
102912261,116556484
109244752,101773922
109592405,75766315
4183957045,71767481
70752933,108381858
102788147,108381871
107550910,109126046
116711438,109310242
99159839,109061879
82972021,109368520
107831702,
116556479,
105996924,
107813722,
104233896,
107580373,
112147696,
78594596,
97801286,
108381859,
108381904,
109126054,
109310255,
112803449,
112803466,
117649125,
4306760007,
4306760010,
102195120,
100662946,
109060515,
102415467,
101062668,
101597172,
103347660,
113973460,
106053261,
108087468,
107750932,
112208365,
106149960,
99173480,
107751006,
106177008,
72909448,
78557936,
109254041,
107750893,
110874488,
6035466029,
6009800067,
4303978008,
1401029993168,
1401031225229,
1401036555179,
6001828164,
6035585009,
6035587154,
6035588037,
1401036714039,
1401045945091,
1401016007174,
6035588032,
111052170,
106053259,
117649116,
